ym,size_factor,value_factor,mom_factor,qual_factor,lowvol_factor,rev_factor,ewtret,vwtret
1998m1,2.4087191,4.1470165,-4.5603895,1.4178774,.6675247,-2.5969508,.52,-.8699999999999999
1998m2,.33098412,.83114219,-1.0466508,-.76169324,.59407997,.71626794,-.76,-1.8
1998m3,-.3347435,.16696453,.88949585,-2.3984456,-.14704378,2.3918161,2.36,2.37
1998m4,.76193881,1.9940354,-1.0896766,-1.3972352,-.44621676,1.3825029,-2.05,-3.330000000000001
1998m5,-1.9625347,.7751798,2.6361113,.16550861,.23453653,1.0393941,-1.31,-1.02
1998m6,-.54442108,.63318115,.04404819,.76576519,.33680654,-1.3555565,-1.19,0
1998m7,2.062458,5.1017332,2.8196392,-.62471199,1.7700768,.77495861,-5.07,-6.9
1998m8,1.1031656,1.0541773,2.9123755,1.7535982,.32848734,-4.3924036,-9.74,-10.3
1998m9,-1.8081107,-3.2648578,-3.2613239,1.2755861,-.16068219,3.5697246,5.65,6.72
1998m10,-1.3789719,-1.0435413,-.17406106,.10348948,1.5719575,3.6438844,-5.24,-2.65
1998m11,1.2697389,-1.7992816,-2.8774867,-1.1978116,-.013214127,-.33869189,2.69,1.72
1998m12,-.57247949,-2.9323826,1.9492378,1.0753139,1.8626175,1.4891914,-.5599999999999999,-2.33
1999m1,2.4189467,-.77660012,.46168184,1.7707338,-.73881042,.017070055,-.37,-2
1999m2,-1.1329279,.66802573,-.16658926,2.4891014,.21945058,5.7149925,-2.64,-1.79
1999m3,-.50468099,3.157588,-4.3510137,-3.6636682,.65711504,.087328494,-.14,-.77
1999m4,1.5769815,3.3219833,3.2431765,.4335165,2.4151926,2.7651014,7.399999999999999,10.36
1999m5,1.9994415,-.18011034,1.7120042,-1.3691657,3.1132805,3.247102,3.14,1.63
1999m6,6.3344975,2.527658,3.3427711,1.1611835,-.90373558,2.9277618,.8,-1.42
1999m7,-.068035126,-3.0156944,1.8103625,-.82689404,-.36379069,3.5867577,-1.92,-3.96
1999m8,-1.3555167,-4.0187593,3.7032316,1.7430761,2.3398943,.75651026,-3.28,-2.54
1999m9,3.1066337,3.3894241,1.7710789,2.3979456,-1.7240994,1.6096916,-1.82,-3.61
1999m10,.28415656,2.1936631,.035333872,-2.4450717,1.0876892,4.7685366,-1.98,-2.37
1999m11,1.1587877,-.13415766,1.7529776,2.4578788,.8136161,2.6009011,-1.14,-2.17
1999m12,-4.7818871,-6.9570475,6.2153769,6.3677416,1.6980578,-1.8378423,.8699999999999999,3.09
2000m1,2.7598152,-2.3124158,1.9132125,-.69443399,2.1183081,.39877197,.14,.24
2000m2,-1.2107872,-.22599971,2.5653358,-.79265213,-.66823864,-.86657059,-.89,-1.53
2000m3,-4.5283484,-5.6538587,4.2732649,2.9356601,1.5386794,1.7509747,1.66,3.38
2000m4,-2.9089146,4.2095909,-.11198282,-3.3430581,-1.8776697,2.2015247,3.4,6.67
